loan_id,customer_id,loan_purpose,requested_amount,approved_amount,loan_tenure_months,interest_rate,emi,emi_to_income_ratio,application_date,risk_score,underwriting_score,default_probability,risk_category,approved,rejection_reason,loan_to_income_ratio,loan_status,defaulted,name,age,gender,city,marital_status,employment_type,occupation,monthly_income,monthly_expense,existing_emi,savings_balance,home_ownership,education_level,dependents,credit_score,account_age_months,job_tenure_years,previous_loans,monthly_transactions,acquisition_channel,device_type,digital_activity_score,avg_days_late,max_days_late,delinquency_count,partial_payment_count,missed_payment_count,avg_net_cash_flow,avg_balance_volatility,avg_cash_flow_consistency,spending_shock_count,overdraft_count
LN958998,C00001,Personal,2227834,1751899,24,19.99,89155.75,1.36,2024-08-09,73,27,0.458,High,0,Insufficient Repayment Capacity,2.23,Rejected,0,Kalpit Chacko,43,Female,Kolkata,Married,Self-employed,Contractor,62991,49611,13839,225482,Rented,Diploma,1,676,36,5,3,144,Facebook,Android,53,27.416666666666668,88,11,9,8.0,18512.75,0.3466666666666667,80.0,0,0
LN784117,C00002,Medical,75880,56700,12,17.65,5188.82,0.37,2025-09-20,93,7,0.578,High,0,High Risk,0.33,Rejected,0,Kiaan Mani,53,Male,Bhubaneswar,Divorced,Salaried,Teacher,31222,14942,5824,346676,Family Owned,PhD,2,712,106,26,5,153,Referral,Android,53,10.166666666666666,71,1,4,1.0,-1343.5833333333333,0.6733333333333333,25.75,0,8
LN718412,C00003,Vehicle,1061109,953797,60,8.41,19527.26,0.43,2024-07-31,10,90,0.08,Low,1,0,1.75,Active,0,Ojas Talwar,32,Male,Mumbai,Married,Self-employed,Contractor,78172,32396,19595,722489,Owned,Bachelor,1,702,101,2,7,113,Instagram,Android,51,5.3,54,1,1,1.0,16610.833333333332,0.37166666666666665,84.0,1,1
LN983915,C00004,Medical,4498633,3436823,24,14.85,166395.2,1.34,2025-03-11,58,42,0.368,High,0,Insufficient Repayment Capacity,2.31,Rejected,0,Samuel Pathak,54,Male,Bangalore,Married,Salaried,Software Engineer,132207,98695,42600,3444058,Family Owned,Bachelor,2,710,107,7,8,325,Instagram,Web,85,13.416666666666666,68,7,5,4.0,41250.583333333336,0.32,68.0,1,2
LN874536,C00005,Home Renovation,1054195,887592,48,9.18,22163.71,0.5,2025-05-31,55,45,0.35,High,0,Insufficient Repayment Capacity,1.67,Rejected,0,Omya Mohanty,24,Female,Ballia,Single,Salaried,Government Employee,34221,16394,712,319739,Rented,Master,1,695,44,0,1,39,YouTube,Web,16,7.6521739130434785,68,3,6,1.0,10440.416666666666,0.33499999999999996,79.41666666666667,0,0
LN365557,C00006,Business,2907147,2465793,60,12.25,55162.22,0.45,2026-05-07,30,70,0.2,Medium,1,0,1.69,Active,0,Yashawini Choudhury,28,Female,Pune,Married,Self-employed,Business Owner,51350,27733,20186,553969,Owned,Bachelor,4,707,66,2,1,65,Instagram,Android,22,5.954545454545454,73,1,3,1.0,60733.583333333336,0.3491666666666667,88.5,1,0
LN798732,C00007,Medical,50000,38290,12,14.33,3443.9,2.14,2025-11-10,100,0,0.62,High,0,High Risk,1.98,Rejected,0,Leela Gandhi,42,Female,Bangalore,Single,Salaried,Software Engineer,70438,53786,19077,714538,Owned,Master,0,708,96,13,3,162,Referral,Android,46,14.666666666666666,82,3,0,3.0,-331.1666666666667,0.7000000000000001,46.833333333333336,0,10
LN362384,C00008,Personal,4332248,3651904,24,18.77,183679.6,1.64,2025-12-22,53,47,0.338,High,0,Insufficient Repayment Capacity,2.72,Rejected,0,Bhavya Vaidya,41,Male,Patna,Divorced,Self-employed,Freelancer,91932,67408,35210,606423,Owned,Bachelor,1,669,120,2,1,124,YouTube,Android,45,24.0,72,6,3,5.0,48392.5,0.3558333333333333,84.75,0,0
LN593774,C00009,Vehicle,2104051,1599477,60,9.81,33834.82,0.36,2025-04-02,15,85,0.11,Low,1,0,1.41,Active,0,Kai Kata,50,Female,Bangalore,Single,Salaried,Teacher,120960,64832,26071,1808056,Rented,Bachelor,0,769,107,19,6,147,Facebook,Web,76,1.8333333333333333,5,0,0,0.0,45045.416666666664,0.36000000000000004,91.5,1,0
LN864664,C00010,Personal,1325284,945582,12,15.4,85525.21,2.42,2025-08-22,56,44,0.356,High,0,Insufficient Repayment Capacity,2.23,Rejected,0,Frado Samra,46,Male,Hyderabad,Single,Self-employed,Consultant,217967,166426,10374,7616848,Owned,Bachelor,1,699,58,1,3,16,YouTube,Web,8,13.083333333333334,62,2,3,2.0,14154.833333333334,0.3666666666666667,69.33333333333333,1,1
LN502162,C00011,Personal,4206290,3098257,36,13.96,105830.9,0.79,2025-10-16,55,45,0.35,High,0,Insufficient Repayment Capacity,1.94,Rejected,0,George Divan,58,Male,Darbhanga,Married,Self-employed,Shop Owner,73288,43842,3774,479153,Rented,Master,3,680,99,3,1,266,Facebook,Android,77,11.375,85,4,3,2.0,54167.333333333336,0.3358333333333334,80.75,0,0
LN666100,C00012,Personal,2021509,1552651,36,22.56,59747.2,0.96,2025-02-05,46,54,0.296,Medium,0,Insufficient Repayment Capacity,2.07,Rejected,0,Urishilla Doshi,60,Female,Patna,Married,Salaried,Bank Officer,91878,57847,2965,1030490,Owned,Diploma,2,720,74,1,6,27,Instagram,iPhone,16,7.0,41,1,1,1.0,20894.333333333332,0.37083333333333335,91.16666666666667,0,0
LN899869,C00013,Business,369727,325239,60,10.74,7029.39,0.07,2024-10-24,35,65,0.23,Medium,1,0,0.28,Closed,0,Samuel Borra,30,Female,Ranchi,Married,Salaried,Sales Executive,40162,20891,116,590309,Owned,PhD,3,714,21,4,1,87,Referral,Web,54,10.076923076923077,89,2,3,1.0,18605.583333333332,0.37083333333333335,62.833333333333336,1,1
LN566491,C00014,Medical,103076,92452,12,16.1,8392.62,0.63,2025-05-29,80,20,0.5,High,1,0,0.58,Active,0,Xalak Subramaniam,51,Male,Bangalore,Single,Salaried,Software Engineer,126304,57466,28469,4211116,Owned,PhD,0,761,57,28,3,163,Instagram,iPhone,76,8.416666666666666,35,2,5,1.0,-1884.1666666666667,0.7316666666666666,76.25,1,8
LN374239,C00015,Personal,829100,818471,24,15.83,40008.44,0.35,2024-06-22,37,63,0.242,Medium,1,0,0.6,Active,0,Banjeet Brahmbhatt,55,Female,Indore,Married,Unemployed,Unemployed,5240,4064,0,14813,Rented,PhD,1,498,118,0,6,133,YouTube,iPhone,54,13.153846153846153,79,3,1,2.0,30056.75,0.30083333333333334,93.66666666666667,1,1
LN178749,C00016,Personal,50000,47451,36,20.3,1770.71,0.3,2025-10-05,100,0,0.62,High,0,High Risk,0.67,Rejected,0,Krisha Agrawal,37,Male,Bangalore,Divorced,Salaried,Bank Officer,142368,104355,742,3673336,Rented,PhD,1,681,95,9,1,149,Google Ads,Web,66,9.25,56,1,2,1.0,-1362.9166666666667,0.6658333333333334,50.0,1,9
LN458038,C00017,Business,3529357,3073599,36,9.78,98859.23,0.81,2026-02-11,41,59,0.266,Medium,0,Insufficient Repayment Capacity,2.11,Rejected,0,Faris Andra,32,Female,Kolkata,Single,Self-employed,Business Owner,177171,125537,55959,1296014,Owned,Bachelor,1,662,97,8,6,50,YouTube,Web,26,4.3,20,1,2,0.0,63146.666666666664,0.13166666666666668,79.33333333333333,0,0
LN119101,C00018,Business,2598920,2302936,36,15.63,80544.35,0.33,2024-11-14,50,50,0.32,High,1,0,0.79,Defaulted,1,Aadhya Aggarwal,42,Male,Delhi,Married,Salaried,Bank Officer,87689,63932,6554,1527090,Rented,Diploma,3,705,96,19,4,79,YouTube,Android,40,26.375,84,11,7,5.0,43660.5,0.31666666666666665,71.58333333333333,0,1
LN418047,C00019,Personal,658917,466115,24,19.63,23639.13,0.33,2025-04-17,5,95,0.05,Low,1,0,0.55,Active,0,Yatan Sarin,22,Female,Jamshedpur,Married,Salaried,Bank Officer,138307,103516,29794,981418,Owned,Bachelor,2,669,45,0,0,134,Google Ads,iPhone,62,2.5789473684210527,5,0,1,0.0,43499.416666666664,0.3416666666666666,94.08333333333333,0,0
LN537117,C00020,Home Renovation,1895236,1786237,48,11.56,46653.5,0.86,2025-07-30,63,37,0.398,High,0,Insufficient Repayment Capacity,2.73,Rejected,0,Fitan Bath,42,Female,Mumbai,Married,Salaried,Bank Officer,76266,40141,25527,790139,Rented,Bachelor,4,691,26,11,2,38,Instagram,Web,17,20.09090909090909,74,8,4,7.0,13896.416666666666,0.3575,80.91666666666667,2,1
LN466036,C00021,Medical,1016994,877868,24,11.13,40968.53,0.41,2025-03-08,20,80,0.14,Low,1,0,0.73,Closed,0,Gayathri Jain,25,Male,Hyderabad,Married,Student,Student,29037,21808,6310,99231,Rented,High School,3,593,51,0,0,203,Google Ads,iPhone,65,2.0,5,0,0,0.0,53313.916666666664,0.3466666666666667,93.75,1,0
LN771083,C00022,Personal,1007083,713458,36,20.27,26612.91,0.19,2026-01-13,5,95,0.05,Low,1,0,0.43,Active,0,Nihal Vig,33,Female,Ballia,Married,Salaried,Bank Officer,106944,49314,15630,3690693,Owned,PhD,3,754,15,7,0,123,Facebook,Web,46,3.4615384615384617,9,0,1,0.0,75937.41666666667,0.355,70.58333333333333,0,0
LN380975,C00023,Medical,730506,608724,12,18.02,55813.61,1.24,2026-01-13,65,35,0.41,High,0,Insufficient Repayment Capacity,1.13,Rejected,0,Balveer Gulati,60,Female,Delhi,Single,Self-employed,Shop Owner,84226,55764,28284,625163,Rented,Diploma,0,654,41,31,3,124,Referral,Android,67,13.916666666666666,80,3,3,2.0,9863.25,0.38833333333333336,72.58333333333333,2,2
LN279421,C00024,Personal,323244,248702,24,21.97,12898.52,0.13,2024-10-20,21,79,0.146,Low,1,0,0.22,Defaulted,1,Devansh Bobal,18,Female,Chapra,Single,Student,Student,14713,8766,4888,76470,Owned,Diploma,1,622,1,0,0,294,Google Ads,Android,97,15.176470588235293,66,4,4,4.0,43815.916666666664,0.28250000000000003,81.41666666666667,0,0
