customer_id,name,age,gender,city,marital_status,employment_type,occupation,monthly_income,monthly_expense,existing_emi,savings_balance,home_ownership,education_level,dependents,credit_score,account_age_months,job_tenure_years,previous_loans,monthly_transactions,acquisition_channel,device_type,digital_activity_score,loan_id,loan_purpose,requested_amount,approved_amount,loan_tenure_months,interest_rate,emi,emi_to_income_ratio,application_date,risk_score,underwriting_score,default_probability,risk_category,approved,rejection_reason,loan_to_income_ratio,loan_status,defaulted,total_payments,missed_payments,partial_payments,delinquent_months,avg_days_late,max_days_late,total_emi_due,total_emi_paid,payment_completion_rate,delinquency_rate,avg_inflow,avg_outflow,avg_net_cash_flow,avg_cash_flow_consistency,avg_balance_volatility,total_spending_shocks,total_overdrafts
C00001,Bakhshi Sarraf,27,Male,Kolkata,Married,Salaried,Teacher,65521,47490,23381,724669,Rented,Bachelor,3,667,13,1,1,180,Referral,iPhone,52,LN615629,Business,1129267,1064276,60,15.23,25447.72,0.39,2024-06-15,65,35,0.41,High,1,,1.35,Defaulted,1,24,8,9,11,27.416666666666668,88,2139738.0,1160764.91,0.542,0.458,66094.0,47581.25,18512.75,80.0,0.3466666666666667,0,0
C00002,Arya Golla,46,Male,Chapra,Single,Unemployed,Unemployed,14115,9996,0,2369,Owned,PhD,1,496,16,0,0,183,Google Ads,iPhone,77,LN870356,Medical,81997,64640,12,18.36,5937.28,0.42,2024-06-17,93,7,0.578,High,0,High Risk,0.38,Rejected,0,12,1,4,1,10.166666666666666,71,62265.84,45887.97,0.737,0.083,8987.166666666666,10330.75,-1343.5833333333333,25.75,0.6733333333333333,0,8
C00003,Jai Majumdar,38,Female,Surat,Married,Salaried,Bank Officer,45339,25765,1078,815053,Owned,High School,3,749,16,8,0,161,Referral,Web,80,LN238100,Business,1348692,1118959,48,10.98,28909.21,0.64,2025-03-08,30,70,0.2,Medium,1,,2.06,Active,0,20,1,1,1,5.3,54,390545.19999999995,364917.33999999997,0.934,0.05,44843.666666666664,28232.833333333332,16610.833333333332,84.0,0.37166666666666665,1,1
C00004,Qadim Chandra,36,Female,Ahmedabad,Married,Self-employed,Shop Owner,124097,78963,21133,4053858,Owned,Master,2,660,81,8,2,343,Facebook,iPhone,94,LN911208,Home Renovation,262365,191775,60,11.84,4250.44,0.03,2025-01-21,25,75,0.17,Medium,1,,0.13,Closed,0,24,4,5,7,13.416666666666666,68,3993484.8000000003,3044844.6500000004,0.762,0.292,127203.75,85953.16666666667,41250.583333333336,68.0,0.32,1,2
C00005,Chaitaly Shan,51,Female,Bangalore,Married,Salaried,Bank Officer,44165,33149,17237,468910,Owned,Bachelor,3,703,98,16,3,299,Instagram,Android,76,LN841816,Business,1618943,1275914,48,14.68,35303.02,0.8,2024-09-08,63,37,0.398,High,0,Insufficient Repayment Capacity,2.41,Rejected,0,23,1,6,3,7.6521739130434785,68,509765.32999999996,433380.62,0.85,0.13,44350.916666666664,33910.5,10440.416666666666,79.41666666666667,0.33499999999999996,0,0
C00006,Simon Som,37,Male,Darbhanga,Married,Salaried,Teacher,121578,58886,16951,3655065,Owned,PhD,4,723,8,12,0,161,Google Ads,Android,100,LN133094,Personal,2369684,1722097,24,14.52,83106.51,0.68,2024-10-09,43,57,0.278,Medium,0,Insufficient Repayment Capacity,1.18,Rejected,0,22,1,3,1,5.954545454545454,73,1213568.84,1092871.51,0.901,0.045,122515.41666666667,61781.833333333336,60733.583333333336,88.5,0.3491666666666667,1,0
C00007,Triveni Bose,45,Male,Kolkata,Married,Unemployed,Unemployed,1609,1454,0,2217,Owned,Diploma,3,482,75,0,2,94,Referral,iPhone,35,LN322901,Business,300000,266333,48,13.65,7231.27,4.49,2026-06-03,100,0,0.62,High,0,High Risk,13.79,Rejected,0,12,3,0,3,14.666666666666666,82,41326.8,30995.100000000002,0.75,0.25,1097.0,1428.1666666666667,-331.1666666666667,46.833333333333336,0.7000000000000001,0,10
C00008,Anika Buch,36,Male,Nagpur,Single,Salaried,Sales Executive,111999,67088,31130,1807776,Rented,High School,1,718,24,12,2,112,Facebook,iPhone,65,LN465517,Home Renovation,3426835,3089825,48,8.28,75838.42,0.68,2025-04-21,53,47,0.338,High,0,Insufficient Repayment Capacity,2.3,Rejected,0,14,5,3,6,24.0,72,2571514.4,1371164.1700000002,0.533,0.429,111867.58333333333,63475.083333333336,48392.5,84.75,0.3558333333333333,0,0
C00009,Bhavini Sama,60,Female,Ranchi,Married,Salaried,Doctor,94551,46464,3612,974155,Owned,Bachelor,4,695,69,9,3,218,Referral,iPhone,75,LN820378,Home Renovation,1155662,884348,48,11.51,23076.08,0.24,2025-07-04,15,85,0.11,Low,1,,0.78,Active,0,12,0,0,0,1.8333333333333333,5,406017.83999999997,406017.83999999997,1.0,0.0,94615.08333333333,49569.666666666664,45045.416666666664,91.5,0.36000000000000004,1,0
C00010,Wridesh Rajan,51,Female,Bangalore,Married,Self-employed,Shop Owner,35410,19219,6449,610568,Rented,Master,4,691,73,4,6,262,Referral,Android,68,LN917501,Medical,188708,145658,12,19.1,13430.3,0.38,2026-01-10,35,65,0.23,Medium,1,,0.34,Active,0,12,2,3,2,13.083333333333334,62,1026302.52,710717.68,0.693,0.167,35187.5,21032.666666666668,14154.833333333334,69.33333333333333,0.3666666666666667,1,1
