customer_id,name,age,gender,city,marital_status,employment_type,occupation,monthly_income,monthly_expense,existing_emi,savings_balance,home_ownership,education_level,dependents,credit_score,account_age_months,job_tenure_years,previous_loans,monthly_transactions,acquisition_channel,device_type,digital_activity_score
C00001,Bakhshi Sarraf,27,Male,Kolkata,Married,Salaried,Teacher,65521,47490,23381,724669,Rented,Bachelor,3,667,13,1,1,180,Referral,iPhone,52
C00002,Arya Golla,46,Male,Chapra,Single,Unemployed,Unemployed,14115,9996,0,2369,Owned,PhD,1,496,16,0,0,183,Google Ads,iPhone,77
C00003,Jai Majumdar,38,Female,Surat,Married,Salaried,Bank Officer,45339,25765,1078,815053,Owned,High School,3,749,16,8,0,161,Referral,Web,80
C00004,Qadim Chandra,36,Female,Ahmedabad,Married,Self-employed,Shop Owner,124097,78963,21133,4053858,Owned,Master,2,660,81,8,2,343,Facebook,iPhone,94
C00005,Chaitaly Shan,51,Female,Bangalore,Married,Salaried,Bank Officer,44165,33149,17237,468910,Owned,Bachelor,3,703,98,16,3,299,Instagram,Android,76
C00006,Simon Som,37,Male,Darbhanga,Married,Salaried,Teacher,121578,58886,16951,3655065,Owned,PhD,4,723,8,12,0,161,Google Ads,Android,100
C00007,Triveni Bose,45,Male,Kolkata,Married,Unemployed,Unemployed,1609,1454,0,2217,Owned,Diploma,3,482,75,0,2,94,Referral,iPhone,35
C00008,Anika Buch,36,Male,Nagpur,Single,Salaried,Sales Executive,111999,67088,31130,1807776,Rented,High School,1,718,24,12,2,112,Facebook,iPhone,65
C00009,Bhavini Sama,60,Female,Ranchi,Married,Salaried,Doctor,94551,46464,3612,974155,Owned,Bachelor,4,695,69,9,3,218,Referral,iPhone,75
C00010,Wridesh Rajan,51,Female,Bangalore,Married,Self-employed,Shop Owner,35410,19219,6449,610568,Rented,Master,4,691,73,4,6,262,Referral,Android,68
C00011,Chatura Bhandari,31,Female,Surat,Married,Salaried,Bank Officer,133243,80382,27367,2572847,Owned,Bachelor,4,726,45,7,3,47,Facebook,Android,26
C00012,Chandani Sule,37,Female,Nagpur,Married,Salaried,Teacher,62468,43032,2160,1115909,Family Owned,Master,3,714,99,13,7,140,Facebook,Web,43
C00013,Bhavika Yadav,35,Male,Ranchi,Married,Self-employed,Shop Owner,96137,75502,37162,609520,Owned,Bachelor,2,660,91,7,3,103,YouTube,iPhone,60
C00014,Jagrati Bora,22,Male,Chapra,Single,Student,Student,13325,11771,844,77938,Rented,High School,0,591,36,0,2,91,YouTube,iPhone,58
C00015,Noah Swamy,57,Female,Mumbai,Married,Salaried,Accountant,114070,73370,18717,953782,Rented,PhD,4,706,99,14,8,89,Referral,Web,35
C00016,Harita Oza,31,Male,Ahmedabad,Married,Unemployed,Unemployed,5922,4753,0,9422,Family Owned,Bachelor,1,453,31,0,2,128,Google Ads,Web,83
C00017,Isha Amble,31,Male,Bangalore,Married,Salaried,Accountant,121572,58821,22705,2525929,Family Owned,Bachelor,1,752,27,4,1,4,Instagram,Web,2
C00018,Aadi D’Alia,41,Male,Surat,Single,Self-employed,Business Owner,242945,184620,89901,2086327,Owned,Diploma,1,694,78,11,0,34,Facebook,iPhone,13
C00019,Mitali Nayar,57,Male,Bangalore,Married,Salaried,Government Employee,70617,29341,5529,644948,Family Owned,Bachelor,1,715,37,26,1,55,Referral,iPhone,16
C00020,Peter Kurian,27,Male,Jamshedpur,Married,Salaried,Sales Executive,54559,36524,15212,725035,Owned,Bachelor,1,711,32,0,1,92,YouTube,Web,38
C00021,Harish Dar,44,Male,Kolkata,Single,Salaried,Bank Officer,100034,45143,19763,934275,Owned,Diploma,0,737,66,12,2,174,Google Ads,Web,72
C00022,Ekalinga Kari,59,Male,Surat,Married,Self-employed,Consultant,137665,69061,2500,3541594,Rented,High School,3,726,112,30,7,43,Google Ads,Android,13
C00023,Urishilla Ahluwalia,48,Male,Ahmedabad,Married,Salaried,Doctor,45062,29470,17721,750856,Rented,PhD,2,686,28,8,2,84,Facebook,Web,43
C00024,Varenya Bora,43,Female,Bhopal,Single,Salaried,Accountant,95950,51288,20068,346864,Family Owned,Diploma,1,733,76,12,3,198,Google Ads,iPhone,66
C00025,Mitali Buch,44,Female,Bangalore,Single,Salaried,Sales Executive,147160,92803,52202,1825151,Rented,PhD,1,743,23,13,1,230,Referral,Android,91
C00026,Chavvi Deo,47,Female,Bhopal,Married,Salaried,Bank Officer,43158,24275,12441,606233,Owned,PhD,1,753,101,15,6,264,Google Ads,Android,93
C00027,Ryan Singh,24,Female,Chennai,Single,Student,Student,18335,15562,1703,101950,Owned,Bachelor,1,610,33,0,2,251,Referral,iPhone,85
C00028,Tara Bassi,54,Female,Meerut,Single,Salaried,Software Engineer,67276,37018,11612,210017,Owned,Diploma,0,746,44,13,3,37,Instagram,iPhone,12
C00029,Zehaan Sekhon,26,Male,Darbhanga,Single,Salaried,Government Employee,100910,41257,31380,1207329,Family Owned,Bachelor,0,690,19,0,0,29,Instagram,iPhone,16
C00030,Yoshita Shanker,24,Male,Delhi,Single,Student,Student,8867,8262,3438,24263,Owned,Bachelor,1,601,25,0,2,247,Google Ads,Android,82
C00031,Omisha Luthra,26,Female,Ranchi,Married,Unemployed,Unemployed,11490,7096,0,22366,Owned,PhD,1,514,43,0,1,186,YouTube,iPhone,50
